symbol,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,position_size,pnl,exit_reason,phase,range_id,partial_exited,original_risk,inv_price,stop_price
EUR/USD,2024-12-20 16:00:00,2024-12-23 12:00:00,long,1.04279,1.039933443069458,1.039933443069458,169773.37268453938,-484.9673043635275,SL,KOD,835,False,0.002856556930542098,1.039933443069458,1.039933443069458
EUR/USD,2024-12-24 04:00:00,2024-12-25 00:00:00,short,1.03973,1.0400415658950806,1.0400415658950806,1525417.145395279,-475.2679582762569,SL,KOD,836,False,0.00031156589508052335,1.0400415658950806,1.0400415658950806
EUR/USD,2024-12-23 04:00:00,2024-12-30 08:00:00,short,1.04178,1.0449320077896118,1.0449320077896118,153859.8051571574,-484.96730436352743,SL,Model-1,838,False,0.003152007789611888,1.0448229312896729,1.0449320077896118
EUR/USD,2025-01-02 00:00:00,2025-01-02 08:00:00,long,1.03662,1.034982442855835,1.034982442855835,278502.1912966419,-456.0632530234613,SL,KOD,875,False,0.001637557144165136,1.034982442855835,1.034982442855835
EUR/USD,2024-11-14 00:00:00,2025-01-02 12:00:00,short,1.05409,1.031436851043701,1.05409,16064.687919871989,363.91576838531546,TP2,Model-1,691,True,0.011326574478149443,1.0570825338363647,1.0654165744781494
EUR/USD,2024-11-15 15:15:00,2025-01-02 12:00:00,short,1.05232,1.0286428,1.0681047999999997,11458.755969491112,271.31125684083315,TP1_50%,OTE,697,False,0.01578479999999982,1.0525700837373735,
EUR/USD,2024-12-31 12:00:00,2025-01-02 16:00:00,short,1.03536,1.0260627802848816,1.0415581464767456,36790.293254163764,342.0474397676,TP1_50%,KOD,873,False,0.006198146476745547,1.0415581464767456,1.0415581464767456
EUR/USD,2025-01-03 16:00:00,2025-01-06 00:00:00,short,1.03071,1.0309277772903442,1.0309277772903442,2142039.128715062,-466.487477262867,SL,Model-1,883,False,0.00021777729034422322,1.0309277772903442,1.0309277772903442
EUR/USD,2024-12-31 12:00:00,2025-01-06 08:00:00,short,1.03536,1.03536,1.03536,36790.293254163764,0.0,SL,KOD,873,True,0.006198146476745547,1.0415581464767456,1.0415581464767456
EUR/USD,2025-01-02 08:00:00,2025-01-06 08:00:00,short,1.03175,1.037344455718994,1.037344455718994,81520.57607231774,-456.06325302346124,SL,KOD,878,False,0.005594455718993974,1.037344455718994,1.037344455718994
EUR/USD,2025-01-07 00:00:00,2025-01-07 00:00:00,short,1.03932,1.039501070976257,1.039501070976257,2474369.288322763,-448.03646265714036,SL,Model-1,889,False,0.00018107097625708057,1.039501070976257,1.039501070976257
EUR/USD,2025-01-07 12:00:00,2025-01-10 12:00:00,short,1.0363,1.0277615399360656,1.0419923067092896,38567.46972957804,329.30680005300246,TP1_50%,KOD,894,False,0.005692306709289552,1.0419923067092896,1.0419923067092896
EUR/USD,2024-12-17 14:15:00,2025-01-10 16:00:00,short,1.04882,1.0252215500000004,1.0645523,13581.42783329363,320.5006456525842,TP1_50%,OTE,814,False,0.01573229999999981,1.0492927044630052,
EUR/USD,2025-01-07 12:00:00,2025-01-10 16:00:00,short,1.0363,1.024915386581421,1.0363,38567.46972957804,439.07573340399756,TP2,KOD,894,True,0.005692306709289552,1.0419923067092896,1.0419923067092896
EUR/USD,2024-11-15 15:15:00,2025-01-13 08:00:00,short,1.05232,1.0207504000000003,1.05232,11458.755969491112,361.74834245444254,TP2,OTE,697,True,0.01578479999999982,1.0525700837373735,
EUR/USD,2025-01-13 04:00:00,2025-01-13 08:00:00,short,1.02208,1.021143992137909,1.022704005241394,369270.45352752577,345.64004773968304,TP1_50%,KOD,910,False,0.0006240052413939434,1.022704005241394,1.022704005241394
EUR/USD,2025-01-13 04:00:00,2025-01-13 08:00:00,short,1.02208,1.0208319895172122,1.02208,369270.45352752577,460.85339698618935,TP2,KOD,910,True,0.0006240052413939434,1.022704005241394,1.022704005241394
EUR/USD,2025-01-13 00:00:00,2025-01-13 20:00:00,short,1.02145,1.022704005241394,1.022704005241394,46041.82684922014,-57.73669219228045,SL,Model-1,910,False,0.010009450721740754,1.0252203941345217,1.0314594507217407
EUR/USD,2025-01-17 08:00:00,2025-01-17 16:00:00,long,1.02967,1.0289124250411987,1.0289124250411987,637644.4908504626,-483.06349888595,SL,KOD,937,False,0.0007575749588013547,1.0289124250411987,1.0289124250411987
EUR/USD,2024-12-17 14:15:00,2025-01-24 12:00:00,short,1.04882,1.04882,1.04882,13581.42783329363,0.0,SL,OTE,814,True,0.01573229999999981,1.0492927044630052,
EUR/USD,2025-01-28 20:00:00,2025-01-29 00:00:00,long,1.04315,1.0434193716049194,1.0429704189300537,1318073.862266674,355.05167168102696,TP1_50%,KOD,975,False,0.00017958106994631073,1.0429704189300537,1.0429704189300537
EUR/USD,2025-01-28 20:00:00,2025-01-29 00:00:00,long,1.04315,1.0435091621398926,1.04315,1318073.862266674,473.40222890823105,TP2,KOD,975,True,0.00017958106994631073,1.0429704189300537,1.0429704189300537
EUR/USD,2025-01-28 16:00:00,2025-01-29 04:00:00,long,1.0433,1.042535424232483,1.042535424232483,619169.8050353329,-473.402228908231,SL,Model-1,979,False,0.000764575767516984,1.042535424232483,1.042535424232483
EUR/USD,2025-01-29 04:00:00,2025-01-30 12:00:00,short,1.0413,1.043187975883484,1.043187975883484,148266.8241969064,-279.9241884045534,SL,Model-1,983,False,0.0033046590805054787,1.0446046590805054,1.0446046590805054
EUR/USD,2025-01-29 08:00:00,2025-01-30 12:00:00,short,1.03919,1.043187975883484,1.043187975883484,120186.6335229404,-480.5032623418515,SL,KOD,983,False,0.003997975883484051,1.043187975883484,1.043187975883484
EUR/USD,2025-01-30 12:00:00,2025-01-31 00:00:00,long,1.04125,1.0392849445343018,1.0392849445343018,244524.020176251,-480.5032623418515,SL,KOD,979,False,0.001965055465698251,1.0392849445343018,1.0392849445343018
EUR/USD,2025-01-27 20:00:00,2025-01-31 08:00:00,short,1.04521,1.0385523938179015,1.0447137355804443,53330.230411625744,355.0516716811733,TP1_50%,KOD,974,False,0.004438404121398953,1.049648404121399,1.049648404121399
EUR/USD,2025-01-28 08:00:00,2025-01-31 08:00:00,short,1.0423,1.0386793966293335,1.0447137355804443,98064.22723840465,355.0516716811732,TP1_50%,Breaker,974,False,0.0024137355804443317,1.0447137355804443,1.0447137355804443
EUR/USD,2025-01-27 20:00:00,2025-01-31 20:00:00,short,1.04521,1.036333191757202,1.04521,53330.230411625744,473.402228908231,TP2,KOD,974,True,0.004438404121398953,1.049648404121399,1.049648404121399
EUR/USD,2025-01-28 08:00:00,2025-01-31 20:00:00,short,1.0423,1.0374725288391113,1.0423,98064.22723840465,473.402228908231,TP2,Breaker,974,True,0.0024137355804443317,1.0447137355804443,1.0447137355804443
EUR/USD,2025-01-31 08:00:00,2025-01-31 20:00:00,short,1.03935,1.0370133891105655,1.0409077405929563,146264.61239456915,341.76348606006474,TP1_50%,KOD,990,False,0.0015577405929563248,1.0409077405929563,1.0409077405929563
EUR/USD,2025-01-21 12:00:00,2025-02-03 00:00:00,long,1.04232,1.0348752737045288,1.0348752737045288,63588.93666731827,-473.402228908231,SL,KOD,950,False,0.007444726295471105,1.0348752737045288,1.0348752737045288
EUR/USD,2025-01-30 16:00:00,2025-02-03 00:00:00,short,1.03945,1.0330263929367065,1.0437324047088623,54326.33589768018,348.97103499519255,TP1_50%,KOD,989,False,0.00428240470886232,1.0437324047088623,1.0437324047088623
EUR/USD,2025-01-30 16:00:00,2025-02-03 00:00:00,short,1.03945,1.0308851905822753,1.03945,54326.33589768018,465.2947133269234,TP2,KOD,989,True,0.00428240470886232,1.0437324047088623,1.0437324047088623
EUR/USD,2025-01-31 08:00:00,2025-02-03 00:00:00,short,1.03935,1.0362345188140873,1.03935,146264.61239456915,455.68464808008633,TP2,KOD,990,True,0.0015577405929563248,1.0409077405929563,1.0409077405929563
EUR/USD,2025-02-03 16:00:00,2025-02-03 20:00:00,short,1.02936,1.0323113203048706,1.0323113203048706,173342.43129438366,-511.5890371747432,SL,Model-1,1002,False,0.0029513203048705527,1.0323113203048706,1.0323113203048706
EUR/USD,2025-02-04 00:00:00,2025-02-04 12:00:00,short,1.02789,1.033271312713623,1.033271312713623,93166.34864241137,-501.35725643124835,SL,Model-1,1004,False,0.0053813127136230765,1.033271312713623,1.033271312713623
EUR/USD,2025-02-05 16:00:00,2025-02-06 08:00:00,short,1.04036,1.03693378534317,1.0410159826278689,107552.3924755837,368.4975834769794,TP1_50%,Model-1,1012,False,0.002284143104553271,1.0426441431045532,1.0426441431045532
EUR/USD,2025-02-05 20:00:00,2025-02-06 08:00:00,short,1.03991,1.0382510260581963,1.0410159826278689,222123.7924185671,368.49758347699213,TP1_50%,KOD,1012,False,0.0011059826278689844,1.0410159826278689,1.0410159826278689
EUR/USD,2025-02-05 20:00:00,2025-02-06 08:00:00,short,1.03991,1.037698034744262,1.03991,222123.7924185671,491.33011130262327,TP2,KOD,1012,True,0.0011059826278689844,1.0410159826278689,1.0410159826278689
EUR/USD,2025-02-05 16:00:00,2025-02-07 12:00:00,short,1.04036,1.0357917137908934,1.04036,107552.3924755837,491.3301113026233,TP2,Model-1,1012,True,0.002284143104553271,1.0426441431045532,1.0426441431045532
EUR/USD,2025-02-07 00:00:00,2025-02-07 12:00:00,short,1.03796,1.0358105777740478,1.0393929481506348,180012.31120582478,386.92246265081644,TP1_50%,KOD,1008,False,0.0014329481506347719,1.0393929481506348,1.0393929481506348
EUR/USD,2025-02-07 00:00:00,2025-02-07 16:00:00,short,1.03796,1.0350941036987304,1.03796,180012.31120582478,515.8966168677553,TP2,KOD,1008,True,0.0014329481506347719,1.0393929481506348,1.0393929481506348
EUR/USD,2025-02-06 04:00:00,2025-02-10 00:00:00,short,1.03663,1.0321613881111142,1.0396090745925903,82463.54631815337,368.4975834769766,TP1_50%,KOD,1011,False,0.0029790745925903916,1.0396090745925903,1.0396090745925903
EUR/USD,2025-02-10 00:00:00,2025-02-10 16:00:00,long,1.03174,1.0310341119766235,1.0310341119766235,349559.95252053457,-246.75018393632652,SL,KOD,1023,False,0.001555611839294535,1.0301843881607056,1.0301843881607056
EUR/USD,2025-02-10 08:00:00,2025-02-10 16:00:00,long,1.03223,1.0310341119766235,1.0310341119766235,460870.5343478684,-551.1495523537187,SL,Breaker,1023,False,0.0011958880233764457,1.0310341119766235,1.0310341119766235
EUR/USD,2025-02-06 04:00:00,2025-02-10 20:00:00,short,1.03663,1.0306718508148192,1.03663,82463.54631815337,491.33011130262327,TP2,KOD,1011,True,0.0029790745925903916,1.0396090745925903,1.0396090745925903
EUR/USD,2025-02-07 12:00:00,2025-02-12 16:00:00,short,1.03425,1.0389610528945925,1.0389610528945925,109507.71057143204,-515.8966168677553,SL,KOD,1024,False,0.0047110528945926156,1.0389610528945925,1.0389610528945925
EUR/USD,2025-02-12 16:00:00,2025-02-13 12:00:00,long,1.03861,1.0434083208084108,1.0354111194610596,85188.88924099864,408.7636198904872,TP1_50%,KOD,1016,False,0.003198880538940463,1.0354111194610596,1.0354111194610596
EUR/USD,2025-02-12 16:00:00,2025-02-13 20:00:00,long,1.03861,1.045007761077881,1.03861,85188.88924099864,545.0181598539702,TP2,KOD,1016,True,0.003198880538940463,1.0354111194610596,1.0354111194610596
EUR/USD,2025-02-19 08:00:00,2025-02-20 12:00:00,short,1.04315,1.0456969738006592,1.0456969738006592,217425.03317787836,-553.7758631115043,SL,KOD,1050,False,0.002546973800659158,1.0456969738006592,1.0456969738006592
EUR/USD,2025-02-20 16:00:00,2025-02-21 12:00:00,long,1.05008,1.0467915534973145,1.0467915534973145,165032.43869288676,-542.7003458492743,SL,KOD,1060,False,0.0032884465026854492,1.0467915534973145,1.0467915534973145
EUR/USD,2025-02-21 08:00:00,2025-02-24 00:00:00,short,1.04655,1.049648404121399,1.049648404121399,175154.79730393004,-542.7003458492743,SL,KOD,1076,False,0.0030984041213988345,1.049648404121399,1.049648404121399
EUR/USD,2025-02-21 12:00:00,2025-02-24 00:00:00,short,1.04543,1.0493179559707642,1.0493179559707642,139585.00300162102,-542.7003458492743,SL,KOD,1074,False,0.0038879559707640787,1.0493179559707642,1.0493179559707642
EUR/USD,2025-02-24 00:00:00,2025-02-24 08:00:00,long,1.05137,1.0475592613220217,1.0475592613220217,139565.15622699703,-531.8463389322889,SL,KOD,1081,False,0.0038107386779782093,1.0475592613220217,1.0475592613220217
EUR/USD,2025-02-24 04:00:00,2025-02-25 12:00:00,short,1.04823,1.049538254737854,1.049538254737854,125363.87157814906,-164.00787894783502,SL,Model-1,1082,False,0.004069261093139653,1.0522992610931396,1.0522992610931396
EUR/USD,2025-02-24 08:00:00,2025-02-25 12:00:00,short,1.04702,1.049538254737854,1.049538254737854,202576.14030463737,-510.138325098318,SL,KOD,1082,False,0.002518254737853942,1.049538254737854,1.049538254737854
EUR/USD,2025-02-20 12:00:00,2025-02-27 12:00:00,long,1.04837,1.0437324047088623,1.0437324047088623,119410.13140360704,-553.7758631115043,SL,KOD,1069,False,0.004637595291137719,1.0437324047088623,1.0437324047088623
EUR/USD,2025-02-27 00:00:00,2025-02-27 12:00:00,short,1.0463,1.042103335380554,1.049097776412964,86857.99050751179,364.5138556790522,TP1_50%,KOD,1096,False,0.0027977764129640814,1.049097776412964,1.049097776412964
EUR/USD,2025-02-27 04:00:00,2025-02-27 12:00:00,long,1.04818,1.0461344718933103,1.0461344718933103,237600.48695948263,-486.01847423874915,SL,Breaker,1095,False,0.0020455281066895648,1.0461344718933103,1.0461344718933103
EUR/USD,2025-02-27 00:00:00,2025-02-27 16:00:00,short,1.0463,1.0407044471740718,1.0463,86857.99050751179,486.0184742387491,TP2,KOD,1096,True,0.0027977764129640814,1.049097776412964,1.049097776412964
EUR/USD,2025-02-13 16:00:00,2025-02-28 16:00:00,long,1.04591,1.0383137464523315,1.0383137464523315,71466.21640625187,-542.875499914425,SL,KOD,1047,False,0.007596253547668352,1.0383137464523315,1.0383137464523315
EUR/USD,2025-03-03 00:00:00,2025-03-03 08:00:00,long,1.0416,1.0431260147094727,1.0405826568603516,231669.977277611,353.531793068833,TP1_50%,KOD,1108,False,0.0010173431396485189,1.0405826568603516,1.0405826568603516
EUR/USD,2025-03-03 00:00:00,2025-03-03 08:00:00,long,1.0416,1.0436346862792971,1.0416,231669.977277611,471.3757240918116,TP2,KOD,1108,True,0.0010173431396485189,1.0405826568603516,1.0405826568603516
EUR/USD,2025-03-03 16:00:00,2025-03-04 08:00:00,short,1.04864,1.0501995086669922,1.0501995086669922,312838.1936959596,-487.8738744350245,SL,KOD,1112,False,0.001559508666992171,1.0501995086669922,1.0501995086669922
EUR/USD,2025-03-04 00:00:00,2025-03-04 08:00:00,short,1.04784,1.0497585535049438,1.0497585535049438,254292.55591666716,-487.8738744350245,SL,KOD,1113,False,0.001918553504943743,1.0497585535049438,1.0497585535049438
EUR/USD,2025-03-03 12:00:00,2025-03-04 16:00:00,long,1.04943,1.0550295392990114,1.0456969738006592,65345.62689663984,365.9054058262684,TP1_50%,KOD,1099,False,0.0037330261993409053,1.0456969738006592,1.0456969738006592
EUR/USD,2025-03-03 12:00:00,2025-03-04 16:00:00,long,1.04943,1.056896052398682,1.04943,65345.62689663984,487.8738744350245,TP2,KOD,1099,True,0.0037330261993409053,1.0456969738006592,1.0456969738006592
EUR/USD,2025-03-04 08:00:00,2025-03-05 04:00:00,long,1.0553,1.0646033353805535,1.049097776412964,39330.56165975714,365.90540582626403,TP1_50%,KOD,1098,False,0.0062022235870358156,1.049097776412964,1.049097776412964
EUR/USD,2025-03-04 08:00:00,2025-03-05 08:00:00,long,1.0553,1.0677044471740715,1.0553,39330.56165975714,487.8738744350245,TP2,KOD,1098,True,0.0062022235870358156,1.049097776412964,1.049097776412964
EUR/USD,2025-03-12 04:00:00,2025-03-12 20:00:00,long,1.09192,1.0890873670578003,1.0890873670578003,177400.3554014471,-502.51009066807507,SL,KOD,1138,False,0.0028326329421997087,1.0890873670578003,1.0890873670578003
EUR/USD,2025-03-13 12:00:00,2025-03-17 12:00:00,long,1.08631,1.091871069812775,1.082602620124817,66416.16255069854,369.34491664103524,TP1_50%,KOD,1151,False,0.0037073798751832143,1.082602620124817,1.082602620124817
EUR/USD,2025-03-18 00:00:00,2025-03-18 04:00:00,short,1.09109,1.092418551445007,1.092418551445007,376234.42363936617,-499.84678718753435,SL,KOD,1169,False,0.001328551445007209,1.092418551445007,1.092418551445007
EUR/USD,2025-03-13 12:00:00,2025-03-18 16:00:00,long,1.08631,1.0937247597503665,1.08631,66416.16255069854,492.45988885471365,TP2,KOD,1151,True,0.0037073798751832143,1.082602620124817,1.082602620124817
EUR/USD,2025-03-18 16:00:00,2025-03-19 04:00:00,long,1.09453,1.0927767753601074,1.0927767753601074,279399.3652027367,-489.8498514437838,SL,KOD,1175,False,0.001753224639892581,1.0927767753601074,1.0927767753601074
EUR/USD,2025-03-19 20:00:00,2025-03-20 04:00:00,long,1.09063,1.0899182558059692,1.0899182558059692,688311.9754269982,-489.9020521920023,SL,KOD,1182,False,0.0007117441940307501,1.0899182558059692,1.0899182558059692
EUR/USD,2025-03-19 04:00:00,2025-03-21 12:00:00,short,1.08983,1.0834371616363527,1.0940918922424316,58624.08301245336,374.77428691565854,TP1_50%,KOD,1174,False,0.004261892242431564,1.0940918922424316,1.0940918922424316
EUR/USD,2025-03-19 04:00:00,2025-03-21 12:00:00,short,1.08983,1.081306215515137,1.08983,58624.08301245336,499.69904922087807,TP2,KOD,1174,True,0.004261892242431564,1.0940918922424316,1.0940918922424316
EUR/USD,2025-03-24 00:00:00,2025-03-26 12:00:00,short,1.08204,1.0787311197280882,1.0842459201812744,112785.92083585645,373.19510840315723,TP1_50%,KOD,1193,False,0.0022059201812745233,1.0842459201812744,1.0842459201812744
EUR/USD,2025-03-24 00:00:00,2025-03-26 16:00:00,short,1.08204,1.0776281596374508,1.08204,112785.92083585645,497.59347787089297,TP2,KOD,1193,True,0.0022059201812745233,1.0842459201812744,1.0842459201812744
EUR/USD,2025-03-25 20:00:00,2025-03-26 16:00:00,short,1.0782,1.0758044557571411,1.0797970294952393,155787.19095490503,373.195108403187,TP1_50%,KOD,1204,False,0.0015970294952392106,1.0797970294952393,1.0797970294952393
EUR/USD,2025-03-25 20:00:00,2025-03-26 20:00:00,short,1.0782,1.0750059410095216,1.0782,155787.19095490503,497.59347787089297,TP2,KOD,1204,True,0.0015970294952392106,1.0797970294952393,1.0797970294952393
EUR/USD,2025-03-26 12:00:00,2025-03-26 20:00:00,short,1.07803,1.0753794557571412,1.0797970294952393,140799.42615885157,373.1951084031697,TP1_50%,Breaker,1204,False,0.001767029495239214,1.0797970294952393,1.0797970294952393
EUR/USD,2025-03-26 12:00:00,2025-03-26 20:00:00,short,1.07803,1.0744959410095216,1.07803,140799.42615885157,497.59347787089297,TP2,Breaker,1204,True,0.001767029495239214,1.0797970294952393,1.0797970294952393
EUR/USD,2025-03-27 20:00:00,2025-03-28 08:00:00,short,1.07956,1.078154460334778,1.0804970264434814,293396.6255021002,412.38059478553527,TP1_50%,KOD,1215,False,0.0009370264434813702,1.0804970264434814,1.0804970264434814
EUR/USD,2025-03-27 20:00:00,2025-03-28 08:00:00,short,1.07956,1.0776859471130373,1.07956,293396.6255021002,549.8407930473369,TP2,KOD,1215,True,0.0009370264434813702,1.0804970264434814,1.0804970264434814
EUR/USD,2025-03-24 12:00:00,2025-03-30 23:00:00,short,1.07891,1.0837758779525757,1.0837758779525757,102261.80819177812,-497.59347787089297,SL,KOD,1197,False,0.004865877952575648,1.0837758779525757,1.0837758779525757
EUR/USD,2025-03-31 07:00:00,2025-04-02 11:00:00,short,1.08255,1.0850694179534912,1.0850694179534912,221929.57324597595,-559.1333512465765,SL,KOD,1218,False,0.0025194179534913097,1.0850694179534912,1.0850694179534912
EUR/USD,2025-03-31 11:00:00,2025-04-02 11:00:00,short,1.08109,1.0831888914108276,1.0831888914108276,266394.6063918223,-559.1333512465765,SL,KOD,1219,False,0.0020988914108275303,1.0831888914108276,1.0831888914108276
EUR/USD,2025-04-01 07:00:00,2025-04-02 11:00:00,short,1.07947,1.0829542875289917,1.0829542875289917,160472.79295815463,-559.1333512465765,SL,KOD,1221,False,0.0034842875289917696,1.0829542875289917,1.0829542875289917
EUR/USD,2025-04-01 15:00:00,2025-04-02 11:00:00,short,1.07889,1.081548810005188,1.081548810005188,210294.58673449798,-559.1333512465765,SL,KOD,1231,False,0.0026588100051880836,1.081548810005188,1.081548810005188
EUR/USD,2025-03-24 21:15:00,2025-04-03 03:00:00,short,1.07985,1.0960477499999999,1.0960477499999999,30719.913436798077,-497.59347787089297,SL,OTE,1197,False,0.0161977499999999,1.0801383942365645,
